               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,               0.124,             0.03906,             0.03096,           0.0082598,             0.20779,           0.0075706,           0.0017096,            0.083301,             0.02601,             0.02109,              0.0955,              0.0005,              0.0005
                   1,             0.11048,            0.039759,            0.030394,            0.012384,             0.44156,            0.034429,            0.012135,             0.06927,            0.026281,            0.019162,            0.090089,           0.0010891,           0.0010891
                   2,            0.095497,            0.042178,            0.029799,            0.010884,             0.52273,             0.15267,            0.055846,            0.052835,            0.026831,            0.018053,            0.084666,           0.0016663,           0.0016663
                   3,             0.08287,            0.047278,            0.029198,             0.01085,             0.52273,             0.19057,            0.075058,            0.049079,            0.026173,            0.017367,            0.079232,           0.0022317,           0.0022317
                   4,            0.076189,            0.047965,            0.026652,             0.21399,              0.4147,             0.21208,            0.094845,            0.041686,            0.024856,            0.016537,            0.073785,           0.0027852,           0.0027852
                   5,            0.070665,            0.047599,            0.026251,             0.37437,             0.34091,             0.33173,             0.12507,            0.038546,            0.022669,            0.015863,            0.068327,           0.0033267,           0.0033267
                   6,            0.068117,             0.04218,            0.025773,             0.35335,             0.34091,             0.31156,             0.15598,            0.035575,            0.022703,            0.015439,            0.062856,           0.0038565,           0.0038565
                   7,             0.06431,            0.040783,             0.02526,             0.34431,             0.46753,             0.37702,              0.2105,            0.036653,            0.026428,            0.016141,            0.057374,           0.0043743,           0.0043743
                   8,            0.061273,             0.03709,            0.023837,             0.30939,             0.78736,             0.58068,             0.28031,            0.032539,            0.021844,            0.016822,             0.05188,           0.0048802,           0.0048802
                   9,            0.061909,            0.035784,            0.023243,             0.40451,             0.56116,             0.53586,             0.29055,            0.032459,            0.017292,            0.016247,            0.046374,           0.0053743,           0.0053743
                  10,            0.057665,            0.039202,            0.024601,             0.46568,             0.41234,             0.45156,             0.18314,            0.039869,            0.015018,            0.015908,            0.040857,           0.0058565,           0.0058565
                  11,            0.056005,              0.0364,            0.023575,             0.25693,             0.65584,             0.39984,             0.19237,            0.048095,            0.013257,            0.015609,            0.035327,           0.0063268,           0.0063268
                  12,            0.059277,              0.0333,            0.024079,             0.42003,             0.69156,             0.62933,             0.29146,             0.03428,            0.013798,            0.015591,            0.029785,           0.0067852,           0.0067852
                  13,            0.053089,            0.038598,            0.021799,             0.41943,             0.53835,             0.55958,              0.2613,            0.038474,            0.013627,            0.015544,            0.024232,           0.0072318,           0.0072318
                  14,            0.053673,            0.030417,            0.026413,             0.49131,             0.65584,              0.5581,             0.25304,            0.034175,            0.014353,            0.014954,            0.018666,           0.0076665,           0.0076665
                  15,            0.056239,            0.033276,            0.020497,             0.39931,             0.74675,             0.58604,             0.24868,            0.030881,            0.012968,            0.014313,            0.013089,           0.0080892,           0.0080892
                  16,             0.05715,            0.033289,            0.022496,             0.30622,             0.65584,             0.49601,             0.21359,            0.053365,            0.012789,            0.014164,            0.008416,            0.008416,            0.008416
                  17,            0.060801,            0.031909,            0.021005,             0.32226,             0.79221,             0.50741,             0.18497,            0.043969,             0.01143,            0.014363,            0.008416,            0.008416,            0.008416
                  18,            0.057684,            0.032122,            0.021224,             0.33228,             0.84397,             0.51431,             0.25782,            0.036723,            0.011453,            0.013588,            0.008317,            0.008317,            0.008317
